question;reponse;reponse
Quel est votre parcours trans identitaire (avec ou sans entrée dans un parcours chirurgical) ?;14;Male-to-Female
Quelle est votre situation romantique ?;18;En couple exclusif
Quelle est votre orientation sexuelle ?;14;Hétérosexuelle
Clinique des Cèdres: Bonjour, si votre retour à domicile se passe bien répondez TVB, sinon répondez AID;12;Mieux moyen.
Merci pour votre réponse. Si besoin vous pouvez nous appeler au 01.00.00.00.00 ou 01.00.00.00.00 (demander le poste 41100);17;Merci bon courage
Merci pour votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 07:00 à 20:00;19;Ok merci pour tout.
Hopital Fondation Rothschild (Paris 19e) : Si tout va bien répondez TVB, si vous voyez moins bien qu'hier répondez VOI. En cas de sensation de douleur en coup de tonnerre ou d'oeil dur répondez DUR;137;Bonjour, merci à vous de prendre de mes nouvelles. J'ai l'oeil en mydriase et je vois flou mais hormis cela TVB. Bien à vous. Jane Gentaz
Si ces nausées/vomissements vous empêchent de boire et/ou manger répondez NAU;35;PRIS. Effets secondaires à l'ACUPAN
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;17;Bien noté.  Merci
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;22;Je n' oublie pas merci
Parmi ces propositions, lesquelles correspondent à votre situation actuelle (plusieurs choix possibles) ?;154;Je suis un traitement hormonal (hormonothérapie)//Je vais avoir une chirurgie de réassignation sexuelle (phalloplastie, metaoidioplastie ou vaginoplastie)
Si vous êtes dans un parcours de soins spécifique à votre transidentité, dans quel établissement êtes-vous suivi ?;26;Aucune structure de soins 
Quelle est votre situation romantique ?;18;En couple exclusif
Quelle est votre orientation sexuelle ?;11;Pansexuelle
Quel est votre lieu de résidence (2) ?;11;Appartement
Quel est votre genre ?;11;Non binaire
Hopital Fondation Rothschild (Paris 19e) : Si tout va bien répondez TVB, si vous voyez moins bien qu'hier répondez VOI. En cas de sensation de douleur en coup de tonnerre ou d'oeil dur répondez DUR;20;Toujours à l'hôpital
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;12;Ok bien note
Un accompagnant est obligatoire à la sortie ainsi que pour votre première nuit à domicile;39;Oui, merci pour toutes ces informations
CHU d'Angers : Suite à votre opération à l'Unité de Chirurgie Ambulatoire, si tout va bien, répondez TVB;13;Tout vas bien
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;24;Merci pour votre réponse
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;26;C'est la vitamine à dulcis
CH Brive : Suite à votre intervention si tout va bien répondez dès que possible TVB, sinon répondez AID;28;Tjrs du sang dans les urines
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;128;Il y a un médicament en rupture de stock, que l in arrive pas a trouver,  il y a t il un autre que l ont peut prendre à la place
Merci ! Si besoin vous pouvez nous joindre au 01.00.00.00.00 de 8h30 à 17h du lundi au vendredi et de 10h à 13h30 le samedi. En dehors de ces horaires reportez vous au passeport ambulatoire;25;Merci de votre attention.
Pour toute question ou problème URGENT : n'utilisez pas les sms, APPELEZ NOUS AU 01.00.00.00.00 24h/24. En dehors d'une urgence, vous pouvez également appeler l'infirmière de coordination de chirurgie dont le numéro est agrafé sur la pochette de sortie;21;Pas de problème merci
Merci pour votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 07:00 à 20:00;14;Merci beaucoup
Hopital de la Pitié Salpetrière : suite à votre intervention, si tout va bien (aucun problème, ni douleur postopératoires), répondez TVB. Sinon répondez AID;10;çava mieux
"Evaluez votre douleur sur une échelle de 0 à 10  (0 = pas de douleur; 10 = douleur insupportable)";15;Autre douleur 5
Hopital Saint-John: Suite à votre intervention, votre suivi est important. Si tout va bien répondez TVB, sinon répondez AID;15;TVB grand merci
Clinique des Cèdres: Bonjour, si votre retour à domicile se passe bien répondez TVB, sinon répondez AID;132;Bonjour, Le retour c'est bien passé tvb également une bonne nuit Un grand merci à vous tous également le Dr Marques.   Cordialement.
Hopital Saint-John: Suite à votre intervention, votre suivi est important. Si tout va bien répondez TVB, sinon répondez AID;31;TVB  Ça chauffe et bouche fermé
Hopital de la Pitié Salpetrière : suite à votre intervention, si tout va bien (aucun problème, ni douleur postopératoires), répondez TVB. Sinon répondez AID;26;Bonjour tout va bien merci
CHU d'Angers : Suite à votre opération, si tout va bien, répondez TVB;12;TVB. Merci !
Merci, en cas d'urgence contactez en priorité le secrétariat de votre chirurgien, sinon appelez le service des urgences au 01.00.00.00.00;16;Je vous remercie
Suite à votre examen à l'hopital Cochin, si tout va bien répondez dès que possible TVB;25;TVB - merci Fournier John
Hopital Layné : si tout va bien, répondez TVB, si douleur ou complication répondez AID pour qu'une infirmière vous recontacte;29;TVB je suis en cardio à Layne
Clinique des Cèdres: Bonjour, si votre retour à domicile se passe bien répondez TVB, sinon répondez AID;17;Bonjour TVB Merci
Si vous avez eu, au cours des 7 derniers jours, l'un des symptomes suivants: toux, difficultés respiratoires, fièvre, perte du gout ou de l'odorat, mal de tete persistant, diarrhée. Répondez COV;119;J'ai vu hier le docteur doe. J'ai demandé un traitement chimiothérapie buccale. Je ne viendrai donc pas à ce rdv demain
CHU d'Angers : Suite à votre opération à l'Unité de Chirurgie Ambulatoire, si tout va bien, répondez TVB;61;TVB,merci a tout le personnel pour sa gentillesse.Jane caudal
bonsoir vous la ferez le jour m^me avant de venir , vous etes attendu sinon non pas en uca mais au 11ème ouest en orl;143;Bonjour est il possible de ne pas être opérer en tout début de matinée le temps de venir en train et de faire l'admission ?  En vous remerciant
Etes-vous satisfait de votre séjour à la Clinique Saint John de Dieu ? Répondez seulement un chiffre de 1 à 5 (1: pas du tout satisfait, 5: très satisfait). Si vous avez des commentaires envoyez-les dans un 2e sms;14;Très satisfait
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 7H à 19h du lundi au vendredi;22;Merci  bonne  journée.
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";11;Ok 10 merci
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;18;Tout va bien merci
Hopital privé Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);20;10.extremement clair
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;48;j'aimerai prendre un rdv au centre de la douleur
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;85;quand et comment puis je récupérer les clichés de mon IRM cérébrale du lundi 3 juin ?
Le service Ambulatoire de l'hopital Privé Parly 2 le Chesnay vous attend à l'étage **/lieu_convocation**/ le **/date_convocation**/. Un accompagnant est indispensable pour la sortie. En cas d'empechement, répondez ALERTE à ce sms;67;Bonjour,  Mme Doe Jane aura un peu de retard pour l'admission.  Cdt
ATTENTION : nos urgences nous imposent parfois de modifier les horaires de convocation et dans ce cas, un message téléphonique vous a été laissé. Merci de consulter votre messagerie téléphonique;190;Bonjour je suis coincée dans les bouchons depuis 1 heure et je nâarrive pas a vous joindre au téléphone. Je suis convoquée a 7h30 mais je ne serais pas a lâhôpital avant 9h . Jane VALLIN
Hopital Port Royal : En rapport avec votre intervention, avez-vous consulté votre médecin traitant ou les urgences depuis cette intervention ? Merci de répondre uniquement par OUI ou NON;253;Bonjour mes régles ne se sont toujours pas arrêtés . Et en même temps j'arrive j26 de mon cycle . Ce qui correspond au démarrage normal de mes régles. Dois je m'attendre a ce que j'ai mes régles normales qui enchaînent avec les régles post opératoires ?
Votre suivi par SMS est maintenant terminé. Si besoin vous pouvez appeler le secrétariat du chirurgien du lundi au vendredi entre 09:00 et 18:00 et les urgences au 01.00.00.00.00 le soir et weekend;13;Ent.me levant
Votre suivi par SMS est maintenant terminé. Si besoin vous pouvez appeler le secrétariat du chirurgien du lundi au vendredi entre 09:00 et 18:00 et les urgences au 01.00.00.00.00 le soir et weekend;30;Jait.encores malles.le mataunn
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;63;Bonjour, quel est le tarif d’une consultation en dermatologie ?
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Les Martinets ? (0 très peu probable; 10 très probable)";41;10. Très probable excellent E prestations
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Les Martinets ? (0 très peu probable; 10 très probable)";41;10. Très probable excellent E prestations
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Les Martinets ? (0 très peu probable; 10 très probable)";41;10. Très probable excellent E prestations
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;63;Bonjour j'ai un douleurs dans l'oil à droite merci cordialement
Votre suivi par SMS est maintenant terminé. Si besoin vous pouvez appeler le secrétariat du chirurgien du lundi au vendredi entre 09:00 et 18:00 et les urgences au 01.00.00.00.00 le soir et weekend;15;Merci.beaucoups
Si vous souhaitez reprogrammer votre rendez vous, vous pouvez nous envoyer un mail à **/email**/;168;a ajouté un « Jaime » à « Hopital Saint John : Vous avez rendez-vous pour votre intervention le 17/06/24 . Si vous maintenez le RV répondez OUI, sinon répondez ANNUL ».
Si vous souhaitez reprogrammer votre rendez vous, vous pouvez nous envoyer un mail à **/email**/;250;a ajouté un « Jaime » à « Hopital Saint John : Vous n'avez pas répondu. Si vous maintenez le RV répondez OUI, sinon répondez ANNUL. Sans réponse de votre part, l'hopital se réserve le droit d'annuler votre intervention au profit d'un autre patient ».
Hopital Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);49;Ni ni ju ni ni lo lo lo lo lo lo lo lo lo lo lo o
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;35;NON C'EST IMPOSSIBLE (temps expiré)
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;40;Géolocalisation un proche en ambulatoire
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;15;Géolocalisation
Hopital Pompidou : Evaluez votre séjour en Chirurgie Ambulatoire à l'HEGP de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);16;J'ai un problème
Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;34;Je vous donne 10 équipe etes  bien
Pensez-vous que votre qualité de vie s'est améliorée par rapport à votre état avant la chirurgie dont vous avez bénéficié dans notre unité ? Répondez MIEUX, PIRE ou PAREIL;15;Mieux,Non et 10
Un accompagnant est conseillé pour votre sortie et durant la première nuit;212;"à ""Prenez une douche avec shampooing la veille au soir et le matin de l'intervention. Brossez vous les dents. Ne mettez ni bijoux, ni piercing, ni vernis à ongles, ni maquillage. N'apportez aucun objet de valeur"""
Hopital Jane Paré : Pensez bien à prendre vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Bonne nuit!;154;a ajouté un j'aime à Hopital Jane Paré : Pensez bien à prendre vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Bonne nuit!
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;17;Je reviens vers c
Hopital John Mondor -  Pensez-bien à prendre vos médicaments anti douleur en suivant les consignes données sur l'ordonnance. Bonne soirée.;75;Merci. Pour l'instant tout va bien . Pas du tout de douleurs . Bonne soirée
Evaluez votre passage au service d'endoscopie digestive sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);32;TVB  Avec tous mes remerciements
Merci pour votre réponse, pourriez-vous nous en dire un peu plus ?;230;Dossier pré-rempli, perdu entre le rez de chaussée et le sous sol. Refaire la queue, et manquer l'horaire prévu. Temps perdu pour tout le monde. Personnel de l'enregistrement au rez de chasse chaussée et de la médecine ambulatoire
"Sur une échelle de 0 à 10, recommanderiez vous l'hopital Privé Parly 2 le Chesnay ? (0 très peu probable; 10 très probable)";15;TVB, douleur  5
Rappel : il n'est pas necessaire d'etre à jeun pour votre intervention ;60;J'ai pas de réponse, donc je serai là pour 8h00 jeudi 06.06.
Hopital Sud Ambulatoire: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;65;Elle est revenue à elle mais elle s'est cassé une dent et tombant
Hopital Sud Ambulatoire: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;57;Bonsoir Je vous écris car Jane est tombée dans les pommes
Evaluez votre douleur actuelle sur une échelle de 0 à 5 et répondez simplement par un chiffre (0 : pas de douleur à 5 : douleur insupportable);31;Tout va bien , pas de douleur 0
Si après 48 h, vous avez de douleurs fortes persistantes et ou un hématome de la taille d'une orange et ou de la fièvre, appelez la consultation de chirurgie digestive au 01.00.00.00.00 entre 8h et 17h;14;Très satisfait
Hopital Cochin : Votre opération est prévue le **/date_demarrage_date**/ à l'ophtalmopole. Vous recevrez une confirmation de l'heure de convocation la veille. Un accompagnant est recommandé pour votre sortie. Si vous avez un empechement ou un problème de santé, répondez ALERTE;30;Il va confirmer l'heure demain
Hopital Bichat : évaluez votre sejour en chirurgie ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);39;Trés satisfait  8 bonne soirée ðð
Suivez les consignes données par l'anesthésiste sur l'ordonnance. Bonne nuit!;27;Ok sinon tout va bien merci
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;110;Bonjour je suis en BTS Bioanalyse et contrôle et je souhaiterais effectuer un stage en microbiologie svp merci
Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;560;Bonjour j'ai  mis 0 pas ce que j'ai reporté mon rendez-vous et le meme jour a 16h on m'en a proposé un autre  du coup j'ai accepté et je me  suis deplacer sachant que j'habite trés loin j'ai fait 1h30 de trajet. Arrivée à l'hôpital il mon dit que je n'avait pas le rendez vous alors qu'il m'ont confirmé en m'envoyant un message. Ma fille est rester à  jun 6h pour rien et elle a eu une crise  par la même occasion. Trés déçu ! A partir d'aujourd'hui quand je recevrez un message par cette messagerie je n'accepterai pas le rendez vous car ce n'est pas fiable.
Merci pour votre confiance. Votre satisfaction étant notre priorité, nous vous invitons à nous laisser un avis 5 étoiles sur notre page GOOGLE via le lien suivant: https://example.com;110;Rectification: 2h30 d'attente et non 3h. Long surtout pour accompagnants: pas de lieu d'attente dédié.  Merci.
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;46;Que me suggérez vous pour pallier cet écueil ?
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;168;Mon médecin traitant ma fait un courrier pour me faire opérer du conduit oreille droite assez rapidement suite a des otites a répétition que je fais de l oreille droite
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;168;Mon médecin traitant ma fait un courrier pour me faire opérer du conduit oreille droite assez rapidement suite a des otites a répétition que je fais de l oreille droite
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;22;Mon médecin traitant m
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;39;Je tombe sur de la publicité de macaffe
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;76;"Message 'error ; there has been an issue ; contact your system administrator"
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;30;OK d'accord merci cordialement
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;60;Message d'erreur car je veux joindre le pdf de mon passeport
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;26;DIF ( ne prend pas les pj)
Hopital privé Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);22;10   extrêmement clair
Hopital John Mondor -  Pensez-bien à prendre vos médicaments anti douleur en suivant les consignes données sur l'ordonnance. Bonne soirée;74;Suite à votre  message je n'ai pas reçu d'ordonnance merci bonne soirée...
Vous n'avez pas répondu à notre message.  Pour confirmer votre RDV répondez 1 Pour annuler votre RDV répondez 2 Pour reporter ce RDV répondez 3;22;Le rdv est déjà annulé
de rien madame, et bon rétablissement;102;Bonsoir, je ne sais pas quoi faire ni qui contacter, je viens de vérifier ma température et j'ai 38,2.
Hopital privé Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);42;8 ( c'est très rapide mais ça me convient)
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;172;Désolé, je n'avais pas vu votre questionnaire.  Oui tout va très bien. Il y a une nette amélioration de la vue par rapport à l'autre œil qui n'est encore pas traité. Merci.
Hopital Jane Paré : pensez bien à prendre vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Bonne nuit!;14;Merci beaucoup
Hopital Jane Paré : pensez bien à prendre vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Bonne nuit!;12;Merci a vous
Etes-vous satisfait de votre séjour à la Clinique Saint John de Dieu ? Répondez seulement un chiffre de 1 à 5 (1: pas du tout satisfait, 5: très satisfait). Si vous avez des commentaires envoyez-les dans un 2e sms;62;Parfait accueil, soins parfait, attention du personnel. Merci.
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;184;Mon attestation de mutuelle Generation n'est pas lu par votre logiciel. Mon numéro d'adherent est :00499419.  La période garantie va jusq'au 31/12/2024. Sincères salutations. F. REVAUX
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;39;Ou passer à la clinique pour m'inscrire
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;73;Je ne fais pas partie de Ramsay santé, il me faut alors créer un compte ?
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;17;C'est noté, merci
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;54;Oui merci tout va bien j'ai pris les médicaments merci
Merci de votre réponse. Votre avis est important pour le servic : vous pouvez ajouter un commentaire si vous le souhaitez;128;Félicitation à toute l'équipe depuis l'acceuil jusqu'aux medecins sans oublier les infirmiéres pour son acceuil et son attention
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire? Merci de répondre un chiffre de 0 à 10 (0 : pas satisfait du tout- 10 : extremement satisfait). L'équipe de chirurgie ambulatoire vous souhaite un bon rétablissement;212;Bonsoir je suis la fille de Mr doe john,mon père vient demain a 9h en soin,il saigne énormément,et souffre beaucoup, pouvez vous demain afin de faire le nécessaire car sa douleur n'est plus gérable.merci pour lui
Hopital Cochin : Evaluez votre passage au service d'endosocpie digestive de l'hôpital Cochin de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);22;Extrêmement satisfaite
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;41;Le téléchargement des documents : CNI etc
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;153;Je ne peux pas scanner la pièce daidentité. De plus vous refusez mon identifiant example@example.com !  Désolée, j'ai fait tout mon possible. Sincèrement
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;18;C'est noté. Merci.
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;15;Trés bien merci
Etes-vous satisfait de votre séjour à la Clinique Saint John de Dieu ? Répondez seulement un chiffre de 1 à 5 (1: pas du tout satisfait, 5: très satisfait). Si vous avez des commentaires envoyez-les dans un 2e sms;34;Très satisfait.  Merci beaucoup  .
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;10;Différents
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;83;Bonsoir. C'est compris je suivrai les consignes. Merci et bonne soirée à vous tous.
Si vous le souhaitez vous pouvez faire un commentaire;23;Très satisfait du suivi
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;114;Bien reçu et bien compris. Tout va bien. Merci pour votre gentillesse et vos compétences Bien à vous. F.Rosenblatt
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;14;Merci beaucoup
Hopital de la Pitié Salpetrière : Prenez vos médicaments anti-douleur en suivant les consignes données sur l'ordonnance. Pour mémoire le NUMERO D'URGENCE  est le 01.00.00.00.00 (7 jours sur 7, 24h sur 24). Merci de répondre aux SMS que vous recevrez. Bonne nuit !;42;Bien reçu! Les médicaments sont pris! ð
Apportez vos dernières radios ou examens et le passeport ambulatoire.Remettez le pass parking à votre accompagnant. Venez avec des vetements amples, sans maquillage ni vernis à ongles. N'apportez ni bijoux, ni objets de valeur, ni argent liquide, Dépilez la zone de chirurgie à l'aide d'une tondeuse ou de crème dépilatoire;462;emoji pouce vers le haut à Hopital Saint John :Nous vous attendons le 06/06/24 à 08h20 à l'accueil de l'unité de chirurgie ambulatoire au  du batiment Caroli. Ne passez pas par les admissions. Cet horaire est votre horaire définitif de convocation. Votre accompagnant (obligatoire pour le retour au domicile) devra se présenter à 13:00 à l'accueil de l'unité. Pour tout probléme appelez la consultation de chirurgie orthopédique au 01.00.00.00.00 entre 8h et 17h
Pouvez-vous nous faire un commentaire sur la gestion de votre rendez-vous et la prise en charge de votre enfant pendant l’examen;38;8/10 rdv perso de grossesse rdv rapide
Etes-vous satisfait de votre séjour à la Clinique Saint John de Dieu ? Répondez seulement un chiffre de 1 à 5 (1: pas du tout satisfait, 5: très satisfait). Si vous avez des commentaires envoyez-les dans un 2e sms;227;En ambulatoire, il serait bien d'?tre plus clair sur les modalités de sortie une fois le chirurgien et l'anesthésiste passés : qui contacte l'accompagnant ou le taxi, où peut il attendre ...mais sinon tout était parfait ! Merci
Nous vous attendons le **/date_convocation**/ **/couleur**/. Merci de respecter les consignes données lors de la consultation d'anesthésie;40;OK pas de soucis je serai à l'heur Merci
"Pour toutes consignes pré et post opératoires, vous référer au livret d'accueil ambulatoire ""MON PASS UCA"". Présence OBLIGATOIRE d'au moins 1 parent tout au long de la journée. Frères et soeurs non admis dans le service. ATTENTION LE NON RESPECT DES CONSIGNES CONDUIRA A L'ANNULATION DE L'OPERATION DE VOTRE ENFANT";18;Merci, c'est noté.
"Pour toutes consignes pré et post opératoires, vous référer au livret d'accueil ambulatoire ""MON PASS UCA"". Présence OBLIGATOIRE d'au moins 1 parent tout au long de la journée. Frères et soeurs non admis dans le service. ATTENTION LE NON RESPECT DES CONSIGNES CONDUIRA A L'ANNULATION DE L'OPERATION DE VOTRE ENFANT";21;Bonjour, ok bien reçu
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;30;Est ce adresse mail ou autre ?
Etes-vous satisfait de votre séjour à la Clinique Saint John de Dieu ? Répondez seulement un chiffre de 1 à 5 (1: pas du tout satisfait, 5: très satisfait). Si vous avez des commentaires envoyez-les dans un 2e sms;95;Je serai opéré le 14 juin .  Donc il y a une erreur d'adresse.  Bien cordialement  John Parison
Merci de votre réponse. Votre avis compte pour le service, pouvez-vous nous en dire plus sur votre prise en charge ? ;45;Personnel tres compétent et a  l ecoute merci
Hopital Cochin : Evaluez votre passage au service d'endosocpie digestive de l'hôpital Cochin de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);57;Je suis extrêmement satisfait de la prise en charge un 10
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;26;Quel est mon identifiant ?
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;126;J'ai fait la preadmission il y a 15jours. J'ai rdv avec l'anesthésiste le 10,je vous verrai à ce moment si vous êtes d'accord.
bonsoir quel est votre problème d'ecbu ?;83;Aucun probléme j'ai reçu le résultat par email je sais pas comment vous le transmet
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 07:00 à 20:00;19;Tous vas bien merci
